WaterYear,Site,Treatment,Temp_Cat,obs.day
2017,hydric,c,Near Freezing,92
2017,hydric,c,Very Cold,6
2017,hydric,c,Weak Cold,159
2018,hydric,c,Near Freezing,228
2018,hydric,c,Weak Cold,20
2019,hydric,c,Near Freezing,182
2019,hydric,c,Weak Cold,49
2020,hydric,c,Extreme Cold,6
2020,hydric,c,Near Freezing,88
2020,hydric,c,Very Cold,67
2020,hydric,c,Weak Cold,84
2021,hydric,c,Near Freezing,116
2021,hydric,c,Weak Cold,120
2022,hydric,c,Near Freezing,85
2022,hydric,c,Very Cold,4
2022,hydric,c,Weak Cold,166
2023,hydric,c,Near Freezing,254
2017,mesic,c,Extreme Cold,9
2017,mesic,c,Near Freezing,88
2017,mesic,c,Very Cold,87
2017,mesic,c,Weak Cold,73
2018,mesic,c,Near Freezing,142
2018,mesic,c,Very Cold,5
2018,mesic,c,Weak Cold,88
2019,mesic,c,Near Freezing,145
2019,mesic,c,Very Cold,1
2019,mesic,c,Weak Cold,77
2020,mesic,c,Extreme Cold,26
2020,mesic,c,Near Freezing,80
2020,mesic,c,Very Cold,62
2020,mesic,c,Weak Cold,76
2021,mesic,c,Near Freezing,115
2021,mesic,c,Very Cold,16
2021,mesic,c,Weak Cold,109
2022,mesic,c,Near Freezing,83
2022,mesic,c,Very Cold,8
2022,mesic,c,Weak Cold,164
2023,mesic,c,Near Freezing,227
2023,mesic,c,Weak Cold,27
2017,xeric,c,Extreme Cold,6
2017,xeric,c,Near Freezing,82
2017,xeric,c,Very Cold,82
2017,xeric,c,Weak Cold,73
2018,xeric,c,Near Freezing,142
2018,xeric,c,Weak Cold,95
2019,xeric,c,Near Freezing,98
2019,xeric,c,Very Cold,11
2019,xeric,c,Weak Cold,110
2020,xeric,c,Extreme Cold,60
2020,xeric,c,Near Freezing,69
2020,xeric,c,Very Cold,58
2020,xeric,c,Weak Cold,42
2021,xeric,c,Near Freezing,92
2021,xeric,c,Very Cold,70
2021,xeric,c,Weak Cold,75
2022,xeric,c,Near Freezing,78
2022,xeric,c,Very Cold,56
2022,xeric,c,Weak Cold,118
2023,xeric,c,Near Freezing,136
2023,xeric,c,Weak Cold,114
